Price,Close,High,Low,Open,Volume
Ticker,SPCE,SPCE,SPCE,SPCE,SPCE
Date,,,,,
2021-12-08,324.79998779296875,330.79998779296875,305.94000244140625,314.0,490010
2021-12-09,312.79998779296875,331.20001220703125,311.20001220703125,320.79998779296875,353485
2021-12-10,304.20001220703125,321.0,300.79998779296875,314.0,317465
2021-12-13,296.20001220703125,311.0,289.3999938964844,303.3999938964844,368760
2021-12-14,293.0,301.6000061035156,287.20001220703125,289.6000061035156,376300
2021-12-15,295.3999938964844,298.79998779296875,275.29998779296875,291.3999938964844,625925
2021-12-16,286.0,304.0,281.6000061035156,297.79998779296875,511750
2021-12-17,289.20001220703125,294.8999938964844,270.3999938964844,284.6000061035156,781575
2021-12-20,278.6000061035156,285.0,272.0199890136719,279.79998779296875,516215
2021-12-21,292.6000061035156,293.3999938964844,277.20001220703125,278.6000061035156,493150
2021-12-22,292.0,295.0,285.0,291.20001220703125,293960
2021-12-23,290.6000061035156,293.0,282.8999938964844,292.0,298195
2021-12-27,281.3999938964844,291.3999938964844,278.20001220703125,288.6000061035156,462395
2021-12-28,276.20001220703125,287.7799987792969,275.6000061035156,280.20001220703125,422645
2021-12-29,260.79998779296875,275.3999938964844,257.20001220703125,274.20001220703125,798570
2021-12-30,276.6000061035156,284.3999938964844,259.0,259.20001220703125,733700
2021-12-31,267.6000061035156,284.0,267.0799865722656,274.6000061035156,511265
2022-01-03,270.79998779296875,274.70001220703125,257.79998779296875,269.6000061035156,623745
2022-01-04,264.20001220703125,273.0,257.8999938964844,272.79998779296875,640240
2022-01-05,241.0,266.6000061035156,239.60000610351562,260.3999938964844,834535
2022-01-06,235.60000610351562,246.9199981689453,226.0,243.39999389648438,802835
2022-01-07,249.0,256.1000061035156,238.39999389648438,240.0,795315
2022-01-10,239.39999389648438,249.1999969482422,233.89999389648438,248.60000610351562,823460
2022-01-11,247.8000030517578,251.0,236.1999969482422,240.8000030517578,497125
2022-01-12,247.39999389648438,254.0,241.1999969482422,249.39999389648438,475055
2022-01-13,200.60000610351562,219.8000030517578,200.3000030517578,218.39999389648438,3526800
2022-01-14,202.8000030517578,203.1999969482422,195.0,197.8000030517578,1975935
2022-01-18,187.39999389648438,201.1999969482422,186.60000610351562,200.60000610351562,1201920
2022-01-19,181.8000030517578,194.39999389648438,180.39999389648438,191.0,1058835
2022-01-20,182.0,196.1999969482422,181.8000030517578,184.3000030517578,897705
2022-01-21,169.39999389648438,183.6999969482422,169.1999969482422,181.0,1181020
2022-01-24,172.0,172.1999969482422,151.60000610351562,162.1999969482422,1327905
2022-01-25,169.60000610351562,174.0,163.39999389648438,169.0,808850
2022-01-26,168.8000030517578,182.89999389648438,167.39999389648438,174.1999969482422,873835
2022-01-27,159.1999969482422,175.17999267578125,157.0,169.8000030517578,730745
2022-01-28,162.8000030517578,163.0,152.1999969482422,159.60000610351562,702085
2022-01-31,184.0,184.60000610351562,164.8000030517578,165.0,787410
2022-02-01,194.39999389648438,196.8000030517578,183.0,190.0,746780
2022-02-02,187.39999389648438,196.0,183.22000122070312,193.0,600655
2022-02-03,169.1999969482422,182.6999969482422,168.60000610351562,180.8000030517578,913270
2022-02-04,179.8000030517578,182.0,171.0399932861328,172.60000610351562,534265
2022-02-07,171.39999389648438,180.8000030517578,168.0,178.0,697050
2022-02-08,174.60000610351562,175.89999389648438,166.0,170.0,416635
2022-02-09,183.1999969482422,184.8000030517578,173.60000610351562,175.60000610351562,563555
2022-02-10,177.0,189.10000610351562,175.8000030517578,178.0,566925
2022-02-11,168.8000030517578,183.0,165.6999969482422,176.39999389648438,804890
2022-02-14,162.8000030517578,171.89999389648438,161.0,167.60000610351562,815660
2022-02-15,214.8000030517578,219.39999389648438,175.0,178.60000610351562,9112660
2022-02-16,200.60000610351562,209.97999572753906,193.8000030517578,206.0,2923100
2022-02-17,180.1999969482422,198.0,176.8000030517578,195.3000030517578,1676960
2022-02-18,168.0,178.1999969482422,164.8000030517578,177.8000030517578,1308470
2022-02-22,156.39999389648438,165.60000610351562,153.8000030517578,162.60000610351562,1323250
2022-02-23,161.8000030517578,182.0,159.5,161.0,3047325
2022-02-24,180.0,180.5800018310547,148.0,150.0,1823635
2022-02-25,183.60000610351562,184.0,170.39999389648438,172.1999969482422,1042785
2022-02-28,193.60000610351562,196.39999389648438,181.39999389648438,181.39999389648438,1138890
2022-03-01,187.0,200.60000610351562,184.6999969482422,192.39999389648438,746620
2022-03-02,188.39999389648438,191.60000610351562,181.39999389648438,187.0,733810
2022-03-03,165.0,187.02000427246094,164.0,185.8000030517578,1015575
2022-03-04,156.8000030517578,166.5,155.60000610351562,165.1999969482422,744400
2022-03-07,147.1999969482422,163.39999389648438,147.1999969482422,157.8000030517578,793490
2022-03-08,148.39999389648438,156.5800018310547,141.0,148.0,899235
2022-03-09,156.39999389648438,159.1999969482422,151.60000610351562,152.0,573525
2022-03-10,151.39999389648438,154.3000030517578,147.60000610351562,154.1999969482422,484050
2022-03-11,145.60000610351562,154.6999969482422,145.3000030517578,153.60000610351562,431805
2022-03-14,135.8000030517578,146.0,134.1999969482422,143.39999389648438,683150
2022-03-15,147.1999969482422,147.39999389648438,134.0,136.1999969482422,756350
2022-03-16,159.8000030517578,160.0,149.39999389648438,149.8000030517578,824415
2022-03-17,179.8000030517578,179.8000030517578,157.8000030517578,158.1999969482422,1001495
2022-03-18,188.60000610351562,190.89999389648438,175.1999969482422,176.1999969482422,1189935
2022-03-21,187.0,192.0,180.0,185.39999389648438,563265
2022-03-22,193.0,195.6999969482422,185.0,186.60000610351562,532015
2022-03-23,191.39999389648438,197.39999389648438,186.39999389648438,190.8000030517578,495565
2022-03-24,194.60000610351562,196.0,185.8000030517578,192.0,410515
2022-03-25,188.60000610351562,194.8000030517578,185.60000610351562,194.60000610351562,351525
2022-03-28,195.1999969482422,198.3000030517578,185.17999267578125,189.1999969482422,479740
2022-03-29,220.1999969482422,225.0,198.0,198.0,1539980
2022-03-30,213.8000030517578,222.8000030517578,209.1999969482422,216.0,691995
2022-03-31,197.60000610351562,213.0,197.39999389648438,211.1999969482422,677850
2022-04-01,199.8000030517578,208.0,194.82000732421875,199.60000610351562,496570
2022-04-04,210.8000030517578,213.6999969482422,201.39999389648438,202.8000030517578,485150
2022-04-05,192.1999969482422,213.8000030517578,191.60000610351562,211.60000610351562,609145
2022-04-06,182.1999969482422,188.0,176.10000610351562,187.8000030517578,747165
2022-04-07,179.8000030517578,186.39999389648438,171.1999969482422,181.39999389648438,459010
2022-04-08,173.8000030517578,179.8000030517578,171.39999389648438,178.1999969482422,396445
2022-04-11,174.39999389648438,182.0,165.8000030517578,171.1999969482422,439825
2022-04-12,176.39999389648438,184.82000732421875,172.5,177.60000610351562,520240
2022-04-13,182.39999389648438,183.8000030517578,174.10000610351562,176.8000030517578,316520
2022-04-14,179.8000030517578,183.3800048828125,176.0,181.60000610351562,293940
2022-04-18,171.1999969482422,179.0,166.6999969482422,178.60000610351562,404510
2022-04-19,183.8000030517578,184.39999389648438,169.60000610351562,170.39999389648438,609195
2022-04-20,168.39999389648438,183.44000244140625,168.0,182.60000610351562,457705
2022-04-21,159.8000030517578,174.6999969482422,157.1999969482422,171.60000610351562,523260
2022-04-22,159.8000030517578,166.39999389648438,156.0,162.8000030517578,431245
2022-04-25,166.60000610351562,168.1999969482422,158.8000030517578,159.8000030517578,528390
2022-04-26,155.8000030517578,166.8000030517578,155.8000030517578,165.1999969482422,333720
2022-04-27,154.1999969482422,160.8000030517578,152.1999969482422,155.1999969482422,422575
2022-04-28,158.0,160.0,145.60000610351562,155.1999969482422,515210
2022-04-29,149.8000030517578,163.5,149.60000610351562,158.0,396465
2022-05-02,157.8000030517578,157.8000030517578,147.60000610351562,149.0,434900
2022-05-03,158.60000610351562,162.1999969482422,153.89999389648438,156.1999969482422,400025
2022-05-04,165.1999969482422,166.39999389648438,150.1999969482422,158.0,516200
2022-05-05,150.0,162.8000030517578,148.0,162.8000030517578,631295
2022-05-06,136.0,141.8000030517578,127.0199966430664,141.60000610351562,947545
2022-05-09,121.4000015258789,132.0,121.19999694824219,131.8000030517578,629315
2022-05-10,117.0,128.39999389648438,112.0,127.19999694824219,776855
2022-05-11,107.4000015258789,121.4000015258789,107.4000015258789,115.4000015258789,631780
2022-05-12,116.80000305175781,124.0,102.80000305175781,105.0,828850
2022-05-13,130.8000030517578,133.8000030517578,122.5999984741211,123.4000015258789,707155
2022-05-16,124.0,134.60000610351562,124.0,128.8000030517578,445505
2022-05-17,133.8000030517578,136.8000030517578,125.69999694824219,127.19999694824219,647260
2022-05-18,127.4000015258789,138.60000610351562,126.4000015258789,132.0,506270
2022-05-19,131.60000610351562,137.9199981689453,126.0999984741211,127.80000305175781,517520
2022-05-20,131.0,134.39999389648438,125.4000015258789,132.39999389648438,459195
2022-05-23,131.1999969482422,133.0,125.30000305175781,129.8000030517578,370195
2022-05-24,123.5999984741211,130.1999969482422,121.0,128.60000610351562,425480
2022-05-25,129.39999389648438,130.60000610351562,122.0,123.0,321035
2022-05-26,133.60000610351562,139.0,127.4000015258789,129.0,351165
2022-05-27,142.1999969482422,144.60000610351562,134.0,134.0,449485
2022-05-31,140.1999969482422,145.0,137.1999969482422,143.39999389648438,493525
2022-06-01,135.39999389648438,143.3000030517578,132.0,141.0,364280
2022-06-02,145.39999389648438,147.60000610351562,135.0,135.39999389648438,420725
2022-06-03,139.1999969482422,144.5,137.39999389648438,140.39999389648438,304120
2022-06-06,141.1999969482422,144.8000030517578,138.8000030517578,142.8000030517578,395060
2022-06-07,138.39999389648438,139.39999389648438,131.60000610351562,139.0,527410
2022-06-08,148.0,149.8000030517578,136.1999969482422,136.8000030517578,421645
2022-06-09,134.0,147.1999969482422,133.8000030517578,147.1999969482422,467635
2022-06-10,126.19999694824219,135.0,125.5999984741211,131.60000610351562,385595
2022-06-13,113.19999694824219,121.5,112.4000015258789,120.0,495035
2022-06-14,115.4000015258789,116.80000305175781,111.0999984741211,116.5999984741211,353845
2022-06-15,121.0,123.22000122070312,114.5999984741211,117.0,431605
2022-06-16,115.5999984741211,119.80000305175781,111.69999694824219,116.0,442235
2022-06-17,125.0,127.0999984741211,115.68000030517578,116.0,547690
2022-06-21,121.5999984741211,127.4000015258789,120.5999984741211,122.5999984741211,502395
2022-06-22,125.4000015258789,131.60000610351562,117.08000183105469,118.4000015258789,455230
2022-06-23,129.39999389648438,130.5800018310547,123.69999694824219,125.4000015258789,321315
2022-06-24,131.39999389648438,135.60000610351562,128.60000610351562,130.0,1594010
2022-06-27,132.8000030517578,134.60000610351562,125.5999984741211,132.0,360225
2022-06-28,125.80000305175781,134.5,125.5999984741211,133.8000030517578,321005
2022-06-29,120.0,124.69999694824219,116.69999694824219,124.4000015258789,339605
2022-06-30,120.4000015258789,123.5999984741211,114.30000305175781,117.80000305175781,344260
2022-07-01,125.5999984741211,126.4000015258789,120.5999984741211,122.19999694824219,273015
2022-07-05,129.60000610351562,129.60000610351562,116.80000305175781,123.80000305175781,338985
2022-07-06,129.0,132.8000030517578,127.0,129.1999969482422,257875
2022-07-07,144.60000610351562,147.0,132.1999969482422,132.8000030517578,710620
2022-07-08,146.39999389648438,148.8000030517578,138.5,140.0,498965
2022-07-11,131.8000030517578,144.1999969482422,131.8000030517578,144.0,390615
2022-07-12,138.60000610351562,138.89999389648438,130.39999389648438,132.39999389648438,338385
2022-07-13,139.0,141.60000610351562,132.1999969482422,133.0,262790
2022-07-14,138.8000030517578,140.0,134.39999389648438,138.8000030517578,292765
2022-07-15,147.0,147.0,137.8000030517578,143.0,327800
2022-07-18,144.60000610351562,155.0,144.1999969482422,149.8000030517578,395550
2022-07-19,151.60000610351562,153.8000030517578,147.0,148.1999969482422,301090
2022-07-20,154.0,156.8000030517578,150.1999969482422,151.60000610351562,306960
2022-07-21,154.8000030517578,156.77999877929688,150.8000030517578,152.60000610351562,226865
2022-07-22,146.39999389648438,154.5399932861328,145.0,154.0,265360
2022-07-25,142.39999389648438,147.0,141.39999389648438,146.8000030517578,220345
2022-07-26,139.1999969482422,141.8000030517578,137.39999389648438,140.1999969482422,189740
2022-07-27,143.8000030517578,144.60000610351562,140.0,143.1999969482422,195730
2022-07-28,147.60000610351562,148.60000610351562,139.39999389648438,144.1999969482422,203840
2022-07-29,148.8000030517578,149.1999969482422,143.0,145.8000030517578,192455
2022-08-01,148.0,150.8000030517578,145.4199981689453,147.39999389648438,380475
2022-08-02,156.8000030517578,161.60000610351562,145.0,145.60000610351562,427945
2022-08-03,165.0,166.0,158.0,159.8000030517578,268675
